555,170000000,138903625
456,180000000,158642800
591,200000000,191970730
522,190000000,178945161
501,550000000,403136696
524,160000000,130277287
571,260000000,202314180
553,320000000,285094198
541,140000000,96109975
441,240000000,161461510
554,140000000,96863250
521,230000000,198563009
531,650000000,543757079
533,160000000,128001867
511,700000000,481683006
523,130000000,104923749
596,150000000,114754755
532,0,0
,0,0
722,270000000,204340765
801,160000000,146322418
151,280000000,253301183
802,190000000,146407651
821,200000000,191273665
836,170000000,124548720
103,290000000,274482665
742,200000000,191315528
864,140000000,123251883
153,130000000,92108700
721,260000000,246017598
128,250000000,179416987
822,190000000,186040235
701,200000000,202051184
105,700000000,506530058
803,200000000,186848610
102,330000000,202636387
126,290000000,210232024
,0,0
601,250000000,241310606
401,400000000,380639381
201,220000000,176040010
671,180000000,111145935
641,170000000,155380610
221,140000000,110648620
411,140000000,116683006
402,180000000,154344212
202,280000000,251470402
222,240000000,187606625
203,190000000,141225180
,,
,,
,,
